식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무,정제 리뷰,토큰,감성단어,감성점수,감성라벨
페르시안궁전,최태원91,72,2026.04.08,1번째 방문,영수증,성대 앞 맛집 페르시안궁전 방문했어요 현지 스타일이고 기름에 튀기듯이 나온 밥이랑 매콤한 카레 궁합이 좋아요,60,True,성대 앞 맛집 페르시안궁전 방문했어요 현지 스타일이고 기름에 튀기듯이 나온 밥이랑 매콤한 카레 궁합이 좋아요,"성대, 맛집, 페르시안궁전, 방문, 현지, 스타일, 기름, 튀기, 나오, 카레, 궁합",,0,중립
페르시안궁전,be_****,47,2026.04.07,1번째 방문,영수증,"현지 느낌 낭낭한 이색 인테리어에 풍성한 양과 메뉴 구성, 대학로 데이트 맛집으로 추천해요!",51,True,현지 느낌 낭낭한 이색 인테리어에 풍성한 양과 메뉴 구성 대학로 데이트 맛집으로 추천해요,"현지, 느낌, 이색, 인테리어, 메뉴, 구성, 대학로, 데이트, 맛집, 추천",추천,2,긍정
페르시안궁전,qnrdj,24,2026.04.07,1번째 방문,영수증,대표메뉴인 양고기카레 시켜봤어요 카레맛 자체는 일반적인 카레맛이랑 비슷한데 맵기 선택이 폭넓어서 취향대로 먹을 수 있어요 양고기가 잡내 없이 부드럽고 카레를 넉넉하게 줘서 끝까지 촉촉하게 맛있게 먹었네요,113,True,대표메뉴인 양고기카레 시켜봤어요 카레맛 자체는 일반적인 카레맛이랑 비슷한데 맵기 선택이 폭넓어서 취향대로 먹을 수 있어요 양고기가 잡내 없이 부드럽고 카레를 넉넉하게 줘서 끝까지 촉촉하게 맛있게 먹었네요,"대표, 메뉴, 양고기, 카레, 시키, 카레, 자체, 일반, 카레, 비슷하, 선택, 취향, 고기, 잡내, 부드럽, 카레, 촉촉하, 맛있",맛있,2,긍정
페르시안궁전,잰8275,24,2026.04.07,1번째 방문,영수증,"인도 음식이 땡겨서 혜화 온 김에 맛집 찾아서 왔어요! 점심 시간대에 와서 점심특선으로 주문했는데, 메뉴 구성도 알차고 맛있었습니다🤤🤤 가끔 인도 음식점 가면 호불호 갈리는 맛이 있던데 여기는 그런거 없이 딱 맛있었어요 ㅎㅎ 특이한 노래 덕분에 인도 여행 온 기분으로 즐겼어요🤩",155,True,인도 음식이 땡겨서 혜화 온 김에 맛집 찾아서 왔어요 점심 시간대에 와서 점심특선으로 주문했는데 메뉴 구성도 알차고 맛있었습니다 가끔 인도 음식점 가면 호불호 갈리는 맛이 있던데 여기는 그런거 없이 딱 맛있었어요 특이한 노래 덕분에 인도 여행 온 기분으로 즐겼어요,"인도, 음식, 땡기, 혜화, 맛집, 점심, 시간대, 점심, 특선, 주문, 메뉴, 구성, 알차, 맛있, 인도, 음식점, 호불호, 갈리, 여기, 맛있, 특이, 노래, 덕분, 인도, 여행, 기분, 즐기","맛있, 맛있",4,긍정
페르시안궁전,kun****,30,2026.04.06,1번째 방문,영수증,"양고기커리, 치킨마크니 시켰는데 맛있어요! 인테리어도 너무 멋집니다👍🏻 인도에 온 기분이 나요♥️",54,True,양고기커리 치킨마크니 시켰는데 맛있어요 인테리어도 너무 멋집니다 인도에 온 기분이 나요,"양고기커리, 치킨마크, 시키, 맛있, 인테리어, 멋지, 인도, 기분",맛있,2,긍정
페르시안궁전,기현14,44,2026.04.06,1번째 방문,영수증,너무너무 맛있어용!! 역시 더들리 조합 짱맛 양고기카레도 맛있도 난도 맛있어요!!!,46,True,너무너무 맛있어용 역시 더들리 조합 짱맛 양고기카레도 맛있도 난도 맛있어요,"맛있, 들리, 조합, 양고기, 카레, 맛있, 맛있","맛있, 맛있, 맛있",6,긍정
페르시안궁전,ㅇㅇ295,29,2026.04.05,1번째 방문,영수증,색다른 치킨요리 드시려면 강추합니다. 맵기 2단계 적당했어요 재방문 의사 있습니다!,46,True,색다른 치킨요리 드시려면 강추합니다 맵기 2단계 적당했어요 재방문 의사 있습니다,"색다르, 치킨, 요리, 드시, 단계, 방문, 의사",,0,중립
페르시안궁전,검정머리다이애나,1316,2026.04.05,1번째 방문,영수증,대학로에서 오래된 맛집~ 오랜만에 와봤는데 여전히 그때그시절 그느낌ㅎㅎ 라이스케이크(누룽지)와 먹는 커리가 매력적입니다. 리뷰이벤트로 라씨를 제공해주세요.,86,True,대학로에서 오래된 맛집 오랜만에 와봤는데 여전히 그때그시절 그느낌 라이스케이크 누룽지 와 먹는 커리가 매력적입니다 리뷰이벤트로 라씨를 제공해주세요,"대학로, 맛집, 오랜만, 그때, 시절, 느낌, 라이스케이크, 누룽지, 커리, 매력, 리뷰, 이벤트, 라씨, 제공",,0,중립
페르시안궁전,박성주38,23,2026.04.05,1번째 방문,영수증,성대 정문 앞 이국적인 인테리어 덕분에 부모님과 여행 온 기분 냈네요! 내부도 쾌적하고 세트 메뉴 구성이 알차서 가족 모두 대만족이었습니다. 커리도 정말 맛있고 뻔한 외식 메뉴가 아니라 더 특별했어요. 부모님 모시고 가기 딱인 혜화 맛집으로 강추합니다!,141,True,성대 정문 앞 이국적인 인테리어 덕분에 부모님과 여행 온 기분 냈네요 내부도 쾌적하고 세트 메뉴 구성이 알차서 가족 모두 대만족이었습니다 커리도 정말 맛있고 뻔한 외식 메뉴가 아니라 더 특별했어요 부모님 모시고 가기 딱인 혜화 맛집으로 강추합니다,"성대, 정문, 이국, 인테리어, 덕분, 부모, 여행, 기분, 내부, 세트, 메뉴, 구성, 알차, 가족, 만족, 커리, 맛있, 외식, 메뉴, 아니, 특별, 부모, 모시, 혜화, 맛집","만족, 맛있",4,긍정
페르시안궁전,World of Ronny,152,2026.04.04,1번째 방문,예약,"오랜만에 인도 요리 먹고 싶어서 방문했는데 음식도 엄청 맛있고, 매장 인테리어가 정말 멋져요!",52,True,오랜만에 인도 요리 먹고 싶어서 방문했는데 음식도 엄청 맛있고 매장 인테리어가 정말 멋져요,"오랜만, 인도, 요리, 방문, 음식, 맛있, 매장, 인테리어, 멋지",맛있,2,긍정
페르시안궁전,joo****,12,2026.04.04,1번째 방문,영수증,들리햄 레전드 맛집입니다. 소문대로 너무 맛있습니다~~ 매운맛 2.5로 레전드 카레!!,48,True,들리햄 레전드 맛집입니다 소문대로 너무 맛있습니다 매운맛 2 5로 레전드 카레,"들리햄, 레전드, 맛집, 소문, 맛있, 레전드, 카레",맛있,2,긍정
페르시안궁전,soo****,33,2026.04.04,1번째 방문,영수증,이미 유명한 성대 맛집이지만 더들리 유튜브로 보고 더 궁금했던 페르시아 궁전입니다 다른 커리도 궁금한 게 많았지만 첫 방문이라 통닭카레정식을 시켰어요 색다른 치킨 요리를 찾으시는 분께 추천입니다 향신료 강하지 않아서 완전 한국인 맞춤이고요 인테리어와 사운드가 멋집니다 진짜 궁전에 온 거 같아요,164,True,이미 유명한 성대 맛집이지만 더들리 유튜브로 보고 더 궁금했던 페르시아 궁전입니다 다른 커리도 궁금한 게 많았지만 첫 방문이라 통닭카레정식을 시켰어요 색다른 치킨 요리를 찾으시는 분께 추천입니다 향신료 강하지 않아서 완전 한국인 맞춤이고요 인테리어와 사운드가 멋집니다 진짜 궁전에 온 거 같아요,"유명, 성대, 맛집, 들리, 유튜브, 페르시아, 궁전, 커리, 방문, 통닭, 카레, 정식, 시키, 색다르, 치킨, 요리, 추천, 향신료, 강하, 한국인, 맞춤, 인테리어, 사운드, 멋지, 궁전",추천,2,긍정
페르시안궁전,다이어트37,29,2026.04.04,1번째 방문,영수증,치킨카레세트 무조건 드세요. 더들리 추천 맛집일만 합니다. 저도 300번 올 것 같아요!,49,True,치킨카레세트 무조건 드세요 더들리 추천 맛집일만 합니다 저도 300번 올 것 같아요,"치킨, 카레, 세트, 드세, 더들리, 추천, 맛집",추천,2,긍정
페르시안궁전,정지원5863,8,2026.04.04,1번째 방문,영수증,"주말 점심에 왔는데 자리를 정말 빠르게 치워주셔서 금방 들어왔어요!! 사장님이 너무 친절하시고 재밌으셔서 일단 기분이 좋았고, 음식도 너무 맛있어요 무조건 재방문 할 예정입니다 ㅎㅎ",101,True,주말 점심에 왔는데 자리를 정말 빠르게 치워주셔서 금방 들어왔어요 사장님이 너무 친절하시고 재밌으셔서 일단 기분이 좋았고 음식도 너무 맛있어요 무조건 재방문 할 예정입니다,"주말, 점심, 자리, 빠르, 치우, 들어오, 사장, 친절, 재밌, 기분, 음식, 맛있, 방문, 예정","빠르, 친절, 맛있",5,긍정
페르시안궁전,Tae97,6,2026.04.03,1번째 방문,영수증,"사무실 근처에 있어서 가봐야지 가봐야지 하다가 드디어 와봤어요. 원래 인도커리보다는 일본커리를 선호했는데, 여기서 먹어보니 기존 생각이 변하네요. 너무 맛있어서 자주 오려구요. 내부도 깨끗하고 부모님 모시고 와도 될만큼 이국적인 느낌이 아주 훌륭합니다.",141,True,사무실 근처에 있어서 가봐야지 가봐야지 하다가 드디어 와봤어요 원래 인도커리보다는 일본커리를 선호했는데 여기서 먹어보니 기존 생각이 변하네요 너무 맛있어서 자주 오려구요 내부도 깨끗하고 부모님 모시고 와도 될만큼 이국적인 느낌이 아주 훌륭합니다,"사무실, 근처, 인도커리, 일본커리, 선호, 여기, 기존, 생각, 변하, 맛있, 내부, 부모, 모시, 만큼, 이국, 느낌",맛있,2,긍정
페르시안궁전,cadenzah,14,2026.04.03,1번째 방문,영수증,카레가 엄청 맛있어요 양고기카레 굿~ 그리고 이색적인 분위기 독보적입니다 ㅎㅎ 근처에 찾아보기힘든곳,55,True,카레가 엄청 맛있어요 양고기카레 굿 그리고 이색적인 분위기 독보적입니다 근처에 찾아보기힘든곳,"카레, 맛있, 양고기, 카레, 이색, 분위기, 독보, 근처, 찾아보, 힘들",맛있,2,긍정
페르시안궁전,germinal,51,2026.04.03,5번째 방문,영수증,언제나 너무 맛있어요!,12,True,언제나 너무 맛있어요,맛있,맛있,2,긍정
페르시안궁전,빠나나161,28,2026.04.03,1번째 방문,영수증,더들리 유튜브 보고 알게된 곳으로 한번 와보고싶어서 저장해뒀는데 역시 맛있어요! 맵기 조절도 세분화되어있고 사장님도 친절하셔서 대학로 주변 놀러오시면 함 드셔보세요!,92,True,더들리 유튜브 보고 알게된 곳으로 한번 와보고싶어서 저장해뒀는데 역시 맛있어요 맵기 조절도 세분화되어있고 사장님도 친절하셔서 대학로 주변 놀러오시면 함 드셔보세요,"들리, 유튜브, 저장, 맛있, 조절, 세분, 사장, 친절, 대학로, 주변, 드시","맛있, 친절",4,긍정
페르시안궁전,성유준33,6,2026.04.03,1번째 방문,영수증,페르시안 궁전 제 최애 카레맛집이에요! 인테리어도 현지느낌나고 좋습니다 ㅎㅎ,42,True,페르시안 궁전 제 최애 카레맛집이에요 인테리어도 현지느낌나고 좋습니다,"페르시안, 궁전, 최애, 카레, 맛집, 인테리어, 현지, 느낌",,0,중립
페르시안궁전,앙푸앙푸,12,2026.04.03,1번째 방문,영수증,페르시안 궁전 방문해봤습니다! 기본 통닭 카레가 맛있다고 추천받아 방문해봤는데 역시 너무맛있었습니다! 카레도 정통 맛이 느껴져요!,72,True,페르시안 궁전 방문해봤습니다 기본 통닭 카레가 맛있다고 추천받아 방문해봤는데 역시 너무맛있었습니다 카레도 정통 맛이 느껴져요,"페르시안, 궁전, 방문, 기본, 통닭, 카레, 맛있, 추천, 방문, 맛있, 카레, 정통, 느끼","맛있, 추천, 맛있, 느끼",5,긍정
페르시안궁전,해리48,28,2026.04.03,1번째 방문,영수증,카레 맵기 2.0으로 약간 매콤하니 맛있어요!! 누룽지 같은 라이스케익도 먹었는데 고소하니 신기한 맛이에요🤭 식당갔는데 다 이 메뉴 드시고 계셔서 반가웠습디다 ㅋㅋ,91,True,카레 맵기 2 0으로 약간 매콤하니 맛있어요 누룽지 같은 라이스케익도 먹었는데 고소하니 신기한 맛이에요 식당갔는데 다 이 메뉴 드시고 계셔서 반가웠습디다,"카레, 매콤하, 맛있, 누룽지, 라이스, 케익, 고소하, 식당, 메뉴, 드시, 계시, 반갑",맛있,2,긍정
페르시안궁전,Dr JunHyuk Lee,35,2026.04.02,1번째 방문,영수증,인도밥 식감 매우 특이합니다 카레는 향신료 그렇게 강하지 않아 한국인들에게 호불호는 없을 맛입니다 점심 가성비 좋네요ㅎ,66,True,인도밥 식감 매우 특이합니다 카레는 향신료 그렇게 강하지 않아 한국인들에게 호불호는 없을 맛입니다 점심 가성비 좋네요,"인도, 식감, 카레, 향신료, 그렇, 강하, 한국인, 호불호, 점심, 가성비",가성비,2,긍정
페르시안궁전,tlsfkaus0824,23,2026.04.02,1번째 방문,영수증,인도 음식이 먹고 싶어서 전부터 맛집 리스트에 넣어놨는데 양도 푸짐하고 맛있게 잘 먹었습니다☺️ 생각 날때마다 찾아올 것 같아요!,72,True,인도 음식이 먹고 싶어서 전부터 맛집 리스트에 넣어놨는데 양도 푸짐하고 맛있게 잘 먹었습니다 생각 날때마다 찾아올 것 같아요,"인도, 음식, 맛집, 리스트, 맛있, 생각, 찾아오",맛있,2,긍정
페르시안궁전,나미9755,81,2026.04.02,1번째 방문,영수증,"성균관대 정문 앞에 있는 이란 카레 페르시안 궁전에 왔어요. 2인 세트 메뉴인 통닭카레정식이랑 난, 라씨, 자프란 아이스크림을 주문했어요. 카레 맵기는 2.2 신라면 정도로 했어요. 먹어보니 신라면보다는 아주 조금 덜 매웠어요. 카레 맛을 보고 처음엔 우리가 먹었던 그 일반적인 카레 맛초럼 느껴졌었는데 닭고기를 먹고 난 뒤부터는 아주 새로운 맛이 됐어요. 그 다음부터 라이스, 난이랑 먹었는데 완전 새로운 맛이 났어요. 밥이랑 난은 탄 부분이 아주 고소하니 맛있었어요. 라씨는 요거트에 버터를 믹스한 것처럼 고소했습니다. 자프란 아이스크림은 진짜 꽃향기가 진해 꿀이 들어있는 것 같은 착각을 일으키는 맛이었습니다. 완전 신세계였습니다 ㅎㅎ",358,True,성균관대 정문 앞에 있는 이란 카레 페르시안 궁전에 왔어요 2인 세트 메뉴인 통닭카레정식이랑 난 라씨 자프란 아이스크림을 주문했어요 카레 맵기는 2 2 신라면 정도로 했어요 먹어보니 신라면보다는 아주 조금 덜 매웠어요 카레 맛을 보고 처음엔 우리가 먹었던 그 일반적인 카레 맛초럼 느껴졌었는데 닭고기를 먹고 난 뒤부터는 아주 새로운 맛이 됐어요 그 다음부터 라이스 난이랑 먹었는데 완전 새로운 맛이 났어요 밥이랑 난은 탄 부분이 아주 고소하니 맛있었어요 라씨는 요거트에 버터를 믹스한 것처럼 고소했습니다 자프란 아이스크림은 진짜 꽃향기가 진해 꿀이 들어있는 것 같은 착각을 일으키는 맛이었습니다 완전 신세계였습니다,"성균관대, 정문, 이란, 카레, 페르시안, 궁전, 세트, 메뉴, 통닭, 카레, 정식, 라씨, 자프, 아이스크림, 주문, 카레, 신라면, 정도, 신라면, 카레, 처음, 우리, 일반, 카레, 느끼, 닭고기, 새롭, 다음, 라이스, 새롭, 부분, 고소하, 맛있, 요거트, 버터, 믹스, 고소, 자프, 아이스크림, 향기, 진하, 착각, 일으키, 신세계","느끼, 맛있",1,긍정
페르시안궁전,수능생,7,2026.04.02,1번째 방문,영수증,독특한 인테리어가 인상적인 페르시안 궁전입니다. 정말 맛있습니다 카레맛은 우리가 아는 친숙한 카레맛인데 이 닭과 라이스케이크가 정말 별미입니다. 맵기는 보통으로 시켰는데 맛있습니다. 치킨 퀄리티가 너무 좋아서 꼭 생각날거같은 맛입니다. 다음에 혜화쪽 온다면 재방문 할듯 합니다,154,True,독특한 인테리어가 인상적인 페르시안 궁전입니다 정말 맛있습니다 카레맛은 우리가 아는 친숙한 카레맛인데 이 닭과 라이스케이크가 정말 별미입니다 맵기는 보통으로 시켰는데 맛있습니다 치킨 퀄리티가 너무 좋아서 꼭 생각날거같은 맛입니다 다음에 혜화쪽 온다면 재방문 할듯 합니다,"독특, 인테리어, 인상, 페르시아, 궁전, 맛있, 카레, 우리, 친숙, 카레, 라이스, 케이크, 별미, 보통, 시키, 맛있, 치킨, 퀄리티, 생각나, 다음, 혜화, 방문","맛있, 맛있",4,긍정
페르시안궁전,클레이스,25,2026.04.02,1번째 방문,영수증,성대앞 치킨이 한마리가 통으로 들어가는 치킨카레로 유명한 페르시아궁전! 2.5단계로 먹었는데 고소하게 잘 튀겨진 닭과 바삭하면서 꼬들한 라이스케잌을 같이 먹어서그런지 매콤하면서 고소~한 풍미가 아주 좋았습니다! 인도풍보다는 누룽지통닭카레라고 생각하면 훨씬더 직관적이고 맛있게 느껴지는 것 같아요! 닭도 제법 크니 꼭 한번 드셔보세요!,186,True,성대앞 치킨이 한마리가 통으로 들어가는 치킨카레로 유명한 페르시아궁전 2 5단계로 먹었는데 고소하게 잘 튀겨진 닭과 바삭하면서 꼬들한 라이스케잌을 같이 먹어서그런지 매콤하면서 고소 한 풍미가 아주 좋았습니다 인도풍보다는 누룽지통닭카레라고 생각하면 훨씬더 직관적이고 맛있게 느껴지는 것 같아요 닭도 제법 크니 꼭 한번 드셔보세요,"성대, 치킨, 마리, 들어가, 치킨, 카레, 유명, 페르시아, 궁전, 단계, 고소하, 튀기, 라이스, 케잌, 그렇, 매콤하, 풍미, 인도, 누룽지, 통닭, 카레, 생각, 직관, 맛있, 느끼, 드시","맛있, 느끼",1,긍정
페르시안궁전,쏜9499,47,2026.04.01,1번째 방문,영수증,유명한집이라 소문만듣다가드디어왓어요!! 맛있어요 양많구 난이미침 ㅜ,37,True,유명한집이라 소문만듣다가드디어왓어요 맛있어요 양많구 난이미침,"유명, 소문, 맛있, 미치",맛있,2,긍정
페르시안궁전,쿵해쪄359,69,2026.04.01,1번째 방문,영수증,처음왓는데 분위기부터 인도에 와잇는거같아요. 맛도잇어요 잘먹었습니다,37,True,처음왓는데 분위기부터 인도에 와잇는거같아요 맛도잇어요 잘먹었습니다,"처음, 분위기, 인도",,0,중립
페르시안궁전,가을하늘MIN,37,2026.03.30,1번째 방문,영수증,"늘 오면서도 기대하게 되는 맛입니다. 오늘은 특별히 무화과 소주도 곁들였는데, 은은한 향이 카레와 잘 어울리네요. 잘 먹었습니다👍",72,True,늘 오면서도 기대하게 되는 맛입니다 오늘은 특별히 무화과 소주도 곁들였는데 은은한 향이 카레와 잘 어울리네요 잘 먹었습니다,"기대, 오늘, 무화과, 소주, 곁들이, 카레, 어울리",,0,중립
페르시안궁전,부부붕92,17,2026.03.30,1번째 방문,영수증,"역시 유명한데에는 이유가있는거 같아요. 난도 바삭하고 카레는 한국인 입맛에도 호불호 없이 먹을수 있을거 같아요! 양고기카레랑 닭반마리 선택 했는데, 다음엔 다른메뉴도 먹어봐야겠어요!",101,True,역시 유명한데에는 이유가있는거 같아요 난도 바삭하고 카레는 한국인 입맛에도 호불호 없이 먹을수 있을거 같아요 양고기카레랑 닭반마리 선택 했는데 다음엔 다른메뉴도 먹어봐야겠어요,"유명, 이유, 카레, 한국인, 입맛, 호불호, 양고기, 카레, 마리, 선택, 다음, 메뉴",,0,중립
페르시안궁전,인생역전32,53,2026.03.30,1번째 방문,영수증,카레를 너무 좋아해서 유튜브보고 와봤는데 너무 맛있네요~^^ 분위기랑 노래가 현지 와있는거 같구요 뭐 시켜야 될지 모르는 분들은 시그니쳐메뉴인 통닭정식 시키면 되겠습니당 맵찔이들은 2단계 이하 추천드려요 맵기단계 2.0 주문했는데 맵찔이 입에는 살짝 매콤하네요ㅎㅎ,147,True,카레를 너무 좋아해서 유튜브보고 와봤는데 너무 맛있네요 분위기랑 노래가 현지 와있는거 같구요 뭐 시켜야 될지 모르는 분들은 시그니쳐메뉴인 통닭정식 시키면 되겠습니당 맵찔이들은 2단계 이하 추천드려요 맵기단계 2 0 주문했는데 맵찔이 입에는 살짝 매콤하네요,"카레, 좋아하, 유튜브, 맛있, 분위기, 노래, 현지, 시키, 모르, 시그니쳐, 메뉴, 통닭, 정식, 시키, 단계, 이하, 추천, 드리, 단계, 주문, 맵찔, 매콤하","좋, 맛있, 추천",6,긍정
페르시안궁전,121****,17,2026.03.29,1번째 방문,영수증,가격도 착하고 메뉴도 다양해요 세트 메뉴도 다음에 먹어보고 싶어지네요 사장님께서 인사해주시고 말걸어주셔서 재밌어요,63,True,가격도 착하고 메뉴도 다양해요 세트 메뉴도 다음에 먹어보고 싶어지네요 사장님께서 인사해주시고 말걸어주셔서 재밌어요,"가격, 착하, 메뉴, 다양, 세트, 메뉴, 다음, 사장, 인사, 재밌",,0,중립
페르시안궁전,5162134481,36,2026.03.29,1번째 방문,영수증,카레 맛이 굉장히 진하고 굽기가 조아요,21,True,카레 맛이 굉장히 진하고 굽기가 조아요,"카레, 진하, 조아",,0,중립
페르시안궁전,JNNing,81,2026.03.29,1번째 방문,영수증,유명 해서 와 봤는데 너무 맛있고 색다른 메뉴가 있어서 좋았어요 두 명세트 너무 너무 맛있고 닭튀김 정도도 아주 좋았어요. 버터난 추가도 존맛탱😆,81,True,유명 해서 와 봤는데 너무 맛있고 색다른 메뉴가 있어서 좋았어요 두 명세트 너무 너무 맛있고 닭튀김 정도도 아주 좋았어요 버터난 추가도 존맛탱,"유명, 맛있, 색다르, 메뉴, 세트, 맛있, 튀김, 정도, 버터, 추가","맛있, 맛있",4,긍정
페르시안궁전,gue****,2,2026.03.29,1번째 방문,영수증,너무 맛있어요! 치즈난이랑 팔락파니르랑 먹으면 고소함이 두 배! 치킨 마크니 칼칼하게 맵싹해서 무한으로 들어갑니다 가게 인테리어도 예쁘고 자리도 널찍해서 최고예요!,91,True,너무 맛있어요 치즈난이랑 팔락파니르랑 먹으면 고소함이 두 배 치킨 마크니 칼칼하게 맵싹해서 무한으로 들어갑니다 가게 인테리어도 예쁘고 자리도 널찍해서 최고예요,"맛있, 치즈, 팔락파니르, 고소하, 치킨, 마크니, 칼칼하, 무한, 들어가, 가게, 인테리어, 예쁘, 자리, 최고","맛있, 최고",5,긍정
페르시안궁전,lalallie,47,2026.03.29,1번째 방문,영수증,초2 아이도 잘먹네요 보통맛! 맛있어용,21,True,초2 아이도 잘먹네요 보통맛 맛있어용,"아이, 맛있",맛있,2,긍정
페르시안궁전,물구름20,29,2026.03.29,1번째 방문,영수증,통닭과 카레의 조화가 굳입니다! 중독적인 맛이에요,27,True,통닭과 카레의 조화가 굳입니다 중독적인 맛이에요,"통닭, 카레, 조화, 중독",,0,중립
페르시안궁전,우리집오징어,19,2026.03.29,1번째 방문,영수증,"창덕궁 구경하고 방문한 식당인데, 너무너무 맛있어요 !! 가게 외관부터 완전 맛집 느낌 잔뜩이예요 사장님도 친절하시고 다음엔 다른 메뉴 꼭 먹어볼게요 😋😋",86,True,창덕궁 구경하고 방문한 식당인데 너무너무 맛있어요 가게 외관부터 완전 맛집 느낌 잔뜩이예요 사장님도 친절하시고 다음엔 다른 메뉴 꼭 먹어볼게요,"창덕궁, 구경, 방문, 식당, 맛있, 가게, 외관, 맛집, 느낌, 사장, 친절, 다음, 메뉴","맛있, 친절",4,긍정
