term,aspect,base_polarity,source,matched_count
깔끔하고 맛있는,atmosphere,1,manual_custom_dict,4
분위기도 깔끔해서,atmosphere,1,manual_custom_dict,4
시끄러움,atmosphere,-1,manual_custom_dict,3
음식도 빨리 나오는,food,1,manual_custom_dict,3
예술이에요,food,2,extra_zero_fix,3
응대해주셔서 기분,service,1,manual_custom_dict,3
냄새가 나서,food,-1,manual_custom_dict,3
맛없다고,food,-2,manual_custom_dict,3
구워줘요,service,1,manual_custom_dict,3
맛있네여,food,1,manual_custom_dict,3
3시간 웨이팅,service,-1,manual_custom_dict,3
개맛있어요,food,1,manual_custom_dict,3
맛있습니다 특히,food,1,manual_custom_dict,3
맛없었음,food,-2,manual_custom_dict,3
항상 대기가,service,-1,manual_custom_dict,3
친절해여,service,1,manual_custom_dict,3
쾌적하고 넓어서,atmosphere,1,manual_custom_dict,3
존맛탱이에여,food,2,manual_custom_dict,3
인테리어도 예쁘고,atmosphere,2,manual_custom_dict,3
잡내나고,food,-2,manual_custom_dict,3
존맛이고,food,2,manual_custom_dict,3
예전같지,food,-1,manual_custom_dict,3
분위기도 조용하고,atmosphere,1,manual_custom_dict,3
변했어요,service,-1,manual_custom_dict,3
분위기 있게,atmosphere,1,manual_custom_dict,3
슴슴해요,food,-1,manual_custom_dict,3
매장 넓고,atmosphere,1,manual_custom_dict,3
분위기도 아늑하고,atmosphere,1,manual_custom_dict,3
비추입니다,food,-2,manual_custom_dict,3
싸가지가,service,-2,manual_custom_dict,3
친절합니당,service,1,manual_custom_dict,3
존맛탱이에요,food,2,manual_custom_dict,3
깊은 맛이 나서,food,2,manual_custom_dict,2
대박 맛있어요,food,2,manual_custom_dict,2
구워줘서 좋아요,service,1,manual_custom_dict,2
고기는 잡내 없고,food,1,manual_custom_dict,2
가격은 착하지 않고,price,-1,manual_custom_dict,2
맛없네요,food,-1,manual_custom_dict,2
힙하고 이늑하고,atmosphere,1,manual_custom_dict,2
무슨 맛이지,food,-1,manual_custom_dict,2
자리도 넓어 편하기,atmosphere,1,manual_custom_dict,2
정도의 맛은 아님,food,-1,manual_custom_dict,2
구워주셔서 편해요,service,1,manual_custom_dict,1
자극적이지 않게,food,1,manual_custom_dict,1
쩔어요,food,2,extra_zero_fix,1
짭짤하고 고기도 두꺼웠어요,food,1,manual_custom_dict,1
